Category,Title,Neutral Correct (%),Bullish Correct (%),Bearish Correct (%),Total Correct (%)
FinBERT_negation,True,0.0,0.0,0.0,0.0
FinBERT_negation,False,0.0,0.0,0.0,0.0
FinBERT_symmetric,True,5.6521739130434785,0.8695652173913043,8.26086956521739,14.782608695652174
FinBERT_symmetric,False,5.217391304347826,4.3478260869565215,31.30434782608696,40.869565217391305
FinBERT_additive,True,5.6521739130434785,0.8695652173913043,8.26086956521739,14.782608695652174
FinBERT_additive,False,5.217391304347826,4.3478260869565215,31.30434782608696,40.869565217391305
FinBERT_transitive,True,5.6521739130434785,0.8695652173913043,8.26086956521739,14.782608695652174
FinBERT_transitive,False,5.217391304347826,4.3478260869565215,31.30434782608696,40.869565217391305
PyFin_negation,True,0.0,0.0,0.0,0.0
PyFin_negation,False,0.0,0.0,0.0,0.0
PyFin_symmetric,True,27.82608695652174,16.956521739130434,5.6521739130434785,50.43478260869565
PyFin_symmetric,False,10.0,18.26086956521739,15.217391304347828,43.47826086956522
PyFin_additive,True,27.82608695652174,16.956521739130434,5.6521739130434785,50.43478260869565
PyFin_additive,False,10.0,18.26086956521739,15.217391304347828,43.47826086956522
PyFin_transitive,True,27.82608695652174,16.956521739130434,5.6521739130434785,50.43478260869565
PyFin_transitive,False,10.0,18.26086956521739,15.217391304347828,43.47826086956522
